CLASS,PERCENTAGE
nondemented,99.44454431533813
nondemented,99.33421611785889
nondemented,98.96295070648193
nondemented,98.83432388305664
nondemented,98.56094121932983
nondemented,98.82621765136719
nondemented,98.87540340423584
nondemented,99.26119446754456
nondemented,99.23142790794373
nondemented,98.96827340126038
nondemented,99.14894104003906
nondemented,98.91493320465088
nondemented,98.90128374099731
nondemented,98.88747334480286
nondemented,99.50392842292786
nondemented,99.21533465385437
nondemented,99.32655096054077
nondemented,99.20641779899597
nondemented,99.5817482471466
nondemented,99.5784342288971
nondemented,99.50439929962158
nondemented,99.56440925598145
nondemented,99.51441884040833
nondemented,99.50891137123108
nondemented,99.29712414741516
nondemented,99.33152794837952
nondemented,99.58728551864624
nondemented,99.5370864868164
nondemented,99.44539070129395
nondemented,99.38302636146545
nondemented,99.60972666740417
nondemented,99.49772953987122
nondemented,99.53676462173462
nondemented,99.51310753822327
nondemented,99.55084323883057
nondemented,99.49511885643005
nondemented,99.47461485862732
nondemented,99.47896003723145
nondemented,99.4626522064209
nondemented,99.44636225700378
nondemented,99.41446781158447
nondemented,99.45617914199829
nondemented,99.47928190231323
nondemented,99.48770999908447
nondemented,99.49395060539246
nondemented,99.49109554290771
nondemented,99.43427443504333
nondemented,99.37347173690796
nondemented,99.5709478855133
nondemented,99.51124787330627
nondemented,99.3531882762909
nondemented,99.32847023010254
nondemented,99.22422766685486
nondemented,99.2611289024353
nondemented,99.37127828598022
nondemented,99.64046478271484
nondemented,98.94958734512329
nondemented,99.49616193771362
nondemented,99.46878552436829
nondemented,99.56732988357544
nondemented,99.58800673484802
nondemented,99.49146509170532
nondemented,99.47800636291504
nondemented,99.49070811271667
nondemented,99.60803985595703
nondemented,99.44180250167847
nondemented,99.64460730552673
nondemented,99.63313341140747
nondemented,99.55979585647583
nondemented,99.61901307106018
nondemented,99.48351979255676
nondemented,99.47049617767334
nondemented,99.54376220703125
nondemented,99.44961071014404
nondemented,98.98537993431091
nondemented,99.32613372802734
nondemented,98.99815320968628
nondemented,99.58205819129944
nondemented,99.59465265274048
nondemented,99.42007660865784
nondemented,99.51258301734924
nondemented,99.63655471801758
nondemented,98.97558093070984
nondemented,98.54992628097534
nondemented,98.5437273979187
nondemented,98.88105988502502
nondemented,98.78443479537964
nondemented,98.59525561332703
nondemented,98.67015480995178
nondemented,98.51261973381042
nondemented,98.23574423789978
nondemented,98.64104390144348
nondemented,98.54609966278076
nondemented,98.63414168357849
nondemented,98.46054911613464
nondemented,98.17918539047241
nondemented,98.3428418636322
nondemented,98.65953922271729
nondemented,98.40571284294128
nondemented,98.57503771781921
nondemented,98.81651401519775
nondemented,98.58528971672058
nondemented,98.6846387386322
nondemented,98.27043414115906
nondemented,98.02071452140808
nondemented,98.7401008605957
nondemented,98.56884479522705
nondemented,98.66333603858948
nondemented,98.32554459571838
nondemented,98.49730134010315
nondemented,98.44203591346741
nondemented,98.58490824699402
nondemented,98.48364591598511
nondemented,97.89644479751587
nondemented,98.77215027809143
nondemented,98.6792802810669
nondemented,98.33036661148071
nondemented,98.62356185913086
